type,station_name,longitude,latitude,n_obs,deviance,p_intercept,p_ishour_1,p_ishour_2,p_ishour_3,p_ishour_4,p_ishour_5,p_ishour_6,p_ishour_7,p_ishour_8,p_ishour_9,p_ishour_10,p_ishour_11,p_ishour_12,p_ishour_13,p_ishour_14,p_ishour_15,p_ishour_16,p_ishour_17,p_ishour_18,p_ishour_19,p_ishour_20,p_ishour_21,p_ishour_22,p_ishour_23,p_isweekday_1,p_isweekday_2,p_isweekday_3,p_isweekday_4,p_isweekday_5,p_isweekday_6,p_avgtemp,p_avgtempsqr
departures,Avenue-D-and-E-3-St,-73.97793172,40.72082834,664511,145522.388468,-7.21808287938,-0.124384266577,-0.222133387839,-0.312402748481,-0.318360245143,0.0759988734646,1.08962431765,1.28002573994,2.45964924047,2.1188860428,1.32482773093,1.32336214647,1.23068878658,1.27539577263,1.22437790857,1.29984795169,1.42842834205,1.24046203483,1.13946503178,0.949775583144,0.785612780055,0.946363663075,0.638237826447,0.362579598048,0.0622289035051,0.121822183974,0.00730083187216,0.0430821869653,0.0118211405045,-0.131863329638,0.114795468705,-0.0011369883291
departures,Avenue-D-and-E-8-St,-73.97574813,40.72368361,664512,140089.520222,-5.3871812952,-0.155288108439,-0.295758085377,-0.231131213846,-0.246239531478,-0.105273893157,0.401787926457,1.01500566897,1.92824550116,1.34945995279,0.794017898458,0.51677066509,0.606957067001,0.539204644222,0.545842997894,0.512291525619,0.528837073671,0.6831897654,0.679745546518,0.586732757511,0.437502229735,0.469337295488,-0.048207595829,0.111311866409,0.167616246424,0.259106987504,0.157718173259,0.268598861374,0.236662202011,0.0652778832159,0.0566120569593,-0.000627350775894
departures,Bank-St-and-Hudson-St,-74.00618026,40.73652889,664509,245636.456476,-6.25579306997,-0.182918213224,-0.530194154871,-0.750850456937,-0.737331614086,-0.310665322323,0.472491869841,1.11296144443,1.56064399776,1.15798476315,1.02961392047,1.11484170631,1.19657098681,1.2744844859,1.34231845937,1.36106441798,1.32048059157,1.33581988196,1.46607215875,1.26125461338,0.964711766053,0.831499043825,0.714831630957,0.486908891026,0.0446098539854,0.0906436697494,0.0561013723955,0.0562347716571,0.323823021669,0.253646194997,0.0963518032223,-0.000845006209314
departures,Bank-St-and-Washington-St,-74.00859207,40.7361967,664512,283616.055805,-4.11075817753,-0.108177671678,-0.216730865791,-0.210717611306,-0.322943997001,-0.0733541996033,0.292962730257,0.584411612646,0.921633995847,0.428110965959,0.203247070111,0.265615227719,0.404007203976,0.388874137579,0.387119921446,0.460332552471,0.485713909709,0.516047826001,0.609258949909,0.545540303014,0.361207092672,0.215905553279,0.15427351062,0.100433008558,0.104692149795,0.143976551809,0.127317338939,0.117747875434,0.208760366423,0.177576841017,0.0507015616783,-0.000512924141
departures,Barclay-St-and-Church-St,-74.01020234,40.71291224,664507,295844.502348,-4.8747975739,-0.266697917697,-0.343587543566,-0.341735515785,-0.147555763151,-0.296213560409,0.7153634696,1.41706236092,2.01185216398,1.82805612174,1.10128228456,0.96554709992,1.12357067405,1.16805520622,1.14064628644,1.28954902636,1.51096823436,2.06139691954,1.98068802348,1.51399686301,1.08434687925,0.654047597645,0.414923462421,0.250142216907,0.00327103694509,-0.00822072771802,-0.0535171719001,-0.0849249552121,-0.66562553402,-0.799264921284,0.0627618696133,-0.000588782519927
departures,Barrow-St-and-Hudson-St,-74.00674436,40.73172428,664511,317854.875095,-5.82524764545,-0.359552903774,-0.579091459546,-0.631038255626,-0.529642195101,-0.415602437395,0.326568518651,0.949847283133,1.42073352678,1.36541409417,1.1965771174,1.10534561086,1.10285716154,1.07292162514,1.03733914242,1.043861411,1.13908350036,1.41651050529,1.66879892436,1.33293255605,0.982070831236,0.676587409826,0.400195698893,0.348079347058,0.0567597634508,0.0696601827364,0.00956940672414,0.0406892199677,-0.157837724248,-0.161246202634,0.108365059134,-0.00100902944706
departures,Bayard-St-and-Baxter-St,-73.99974372,40.71602118,664508,247124.393839,-4.67791890836,-0.181907795322,-0.112549942685,-0.402372572287,-0.3403376383,-0.286510226157,-0.270186308665,0.0720703337444,0.981514511995,0.873116911773,0.840503881547,0.769682182966,1.048849602,1.32266514664,1.2182418445,1.25239565616,1.29516343609,1.35639656448,1.26271621799,1.24184975949,1.01867926037,0.853924984275,0.540490112774,0.316344296746,-0.0231982655245,-0.0117765260357,-0.0887947532412,-0.101376293897,-0.0371475068996,0.0073767554281,0.0509654506537,-0.000474739748196
departures,Bedford-Ave-and-S-9-St,-73.96408963,40.70853074,337296,60946.80112,-3.67444687067,-0.139028288217,-0.180673846173,-0.115362523644,-0.227197638161,-0.24545085879,-0.0243598236534,-0.0826573618442,0.12540415966,0.0903483406136,0.0930228736668,0.165900486405,0.103957107207,0.22556443053,0.205464399461,0.279370450456,0.345148756655,0.419456240734,0.289275147688,0.179555268824,0.146468660927,0.0641027418069,0.0301779535836,-0.000817462212491,-0.00937226513025,-0.181858133024,-0.277109936418,-0.148134504938,0.11181244858,0.229849671577,0.0151203509546,-0.000391562067771
departures,Bedford-Ave-and-S-9th-St,,,327210,61759.8868679,-4.4684870573,-0.0967974589027,-0.0912741898206,-0.0348540629026,-0.140893688559,-0.0544886972948,0.0504579605224,0.0796536778387,0.14447355794,-0.03644494905,-0.132438702931,-0.0553674115975,-0.032667300656,-0.0823940937128,0.0411005244479,-0.135205031252,-0.0499274613186,-0.105671309764,0.13516914621,-0.0454928319587,-0.00316755729042,0.0344052646126,-0.00960921693771,-0.0252780528841,-0.0427976199553,-0.0489073846849,0.111851336052,-0.0566344510197,-0.0420653446994,0.0956571749252,0.0976125567995,-0.00152996975171
departures,Bialystoker-Pl-and-Delancey-St,-73.98261206,40.71622644,664508,161325.919303,-7.67209601456,-0.275303118989,-0.657963284575,-0.708683575174,-0.839685565011,-0.281557542899,0.984134252753,1.90719774801,2.56994238133,2.21936969,1.8424783696,1.61221737812,1.61677926801,1.6339590374,1.8379574431,1.60647851019,1.66112919608,1.58232389879,1.67782968452,1.49325572956,1.33285710445,1.22835622549,1.52271025219,0.61276754554,0.110695725017,0.0744528672134,0.00378971216634,0.0733158713688,-0.0486005504647,-0.0430530277729,0.113816998971,-0.00101545798212
departures,Bond-St-and-Schermerhorn-St,-73.98410637,40.68807003,664509,133758.017369,-7.03050137954,-0.303014839463,-0.842212318765,-0.784920816043,-1.11967886652,-0.678796013993,-0.0715981266739,0.754401591107,1.68466488405,1.54524561103,1.06472307129,1.07606439816,1.11322798545,1.07570849574,1.12793666436,1.07660062541,1.10930860478,1.2736673639,1.38249335565,1.2457068516,0.94085116173,0.720942772881,0.718393674581,0.511273696532,0.0288314975836,0.0454491118809,-0.0581774839475,-0.0424315450036,0.0790337837358,0.0977371343045,0.0965049028173,-0.000819066122285
